steamid,name,player_side,equipment_value,type,match_checksum,tournament
76561198995880877,zont1x,Terrorist,5000,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561199063238565,magixx,Terrorist,5100,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198045898864,chopper,Terrorist,5000,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198081484775,sh1ro,Terrorist,7050,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,5800,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,5800,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,5950,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,5500,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,4250,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561199063238565,magixx,Terrorist,5100,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198045898864,chopper,Terrorist,4300,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,6300,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198081484775,sh1ro,Terrorist,6550,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198386265483,donk,Terrorist,5100,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,5800,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,5450,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,3400,semi,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198995880877,zont1x,Terrorist,5000,full,d538f36cb94c95e3,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,1100,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,700,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,950,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,900,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,850,pistol,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,4250,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,5200,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,2450,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,4150,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,4100,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,200,eco,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,4600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,3400,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,5400,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,4600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,5400,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,4500,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,4150,semi,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,4600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,5800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,4800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,5050,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198966340160,Techno4K,Terrorist,3700,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198355739212,torzsi,Counter Terrorist,7650,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198855375325,Jimpphat,Counter Terrorist,5800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561199203563345,910,Terrorist,3700,force-buy,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,5600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198920720017,Senzu,Terrorist,4400,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198150673360,siuhy,Counter Terrorist,5800,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198959824088,bLitz,Terrorist,4600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198838822582,Mzinho,Terrorist,4600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198138828475,Brollan,Counter Terrorist,5400,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
76561198193174134,xertioN,Counter Terrorist,5600,full,d6edbce1ba18ad0a,Perfect World Shanghai Major 2024
