name,team,match_checksum,tournament
Vitality,Team A,711139ec6e55fd91,BLAST Premier World Final 2024
Liquid,Team B,711139ec6e55fd91,BLAST Premier World Final 2024
MOUZ,Team A,b293a59fe730997a,BLAST Premier World Final 2024
FaZe Clan,Team B,b293a59fe730997a,BLAST Premier World Final 2024
FaZe Clan,Team A,b783523242dc5cd9,BLAST Premier World Final 2024
MOUZ,Team B,b783523242dc5cd9,BLAST Premier World Final 2024
MOUZ,Team A,feb54802b6a9c832,BLAST Premier World Final 2024
Vitality,Team B,feb54802b6a9c832,BLAST Premier World Final 2024
Vitality,Team A,fe36626287e46b88,BLAST Premier World Final 2024
MOUZ,Team B,fe36626287e46b88,BLAST Premier World Final 2024
Natus Vincere,Team A,396cb5177b9dae02,BLAST Premier World Final 2024
Astralis,Team B,396cb5177b9dae02,BLAST Premier World Final 2024
Astralis,Team A,6c692080c5f6abee,BLAST Premier World Final 2024
Natus Vincere,Team B,6c692080c5f6abee,BLAST Premier World Final 2024
Natus Vincere,Team A,abd480a89674e421,BLAST Premier World Final 2024
FaZe Clan,Team B,abd480a89674e421,BLAST Premier World Final 2024
FaZe Clan,Team A,61978a585e80788f,BLAST Premier World Final 2024
Natus Vincere,Team B,61978a585e80788f,BLAST Premier World Final 2024
FaZe Clan,Team A,af4da788cca3cf47,BLAST Premier World Final 2024
Natus Vincere,Team B,af4da788cca3cf47,BLAST Premier World Final 2024
Spirit,Team A,dbff32cc281390d2,BLAST Premier World Final 2024
Vitality,Team B,dbff32cc281390d2,BLAST Premier World Final 2024
Spirit,Team A,6fc423a29305d61b,BLAST Premier World Final 2024
Vitality,Team B,6fc423a29305d61b,BLAST Premier World Final 2024
MIBR,Team A,28c465f3ee6bd47f,Perfect World Shanghai Major 2024
3DMAX,Team B,28c465f3ee6bd47f,Perfect World Shanghai Major 2024
paiN Gaming,Team A,acf6b139f56e98ab,Perfect World Shanghai Major 2024
3DMAX,Team B,acf6b139f56e98ab,Perfect World Shanghai Major 2024
G2 Esports,Team A,ec6d6c73b46d11c0,Perfect World Shanghai Major 2024
FaZe Clan,Team B,ec6d6c73b46d11c0,Perfect World Shanghai Major 2024
FaZe Clan,Team A,f4214f7df48008c1,Perfect World Shanghai Major 2024
G2 Esports,Team B,f4214f7df48008c1,Perfect World Shanghai Major 2024
paiN Gaming,Team A,dbbf762636f7a70d,Perfect World Shanghai Major 2024
BIG,Team B,dbbf762636f7a70d,Perfect World Shanghai Major 2024
