name,steamid,team_name,kills,assists,deaths,headshots,hs_%,kd,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,first_trade_kill,first_trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
m0NESY,76561198074762801,Eternal Fire,20,3,20,8,40,1.0,70.833328,81.708336,0.833333,0.833333,3.125,1961,245,75,5,1,5,3,0,1,10,3,0,1,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
huNter,76561198012872053,Eternal Fire,17,4,16,8,47,1.0625,79.166672,75.583336,0.708333,0.666667,4.416667,1814,247,106,4,2,6,2,0,1,13,2,0,0,0,40d4c1527dc406f0,BLAST Bounty 2025 Season 1 Finals
jL,76561198176878303,Natus Vincere,14,4,18,11,78,0.777778,75.862068,59.827587,0.482759,0.62069,3.137931,1735,268,91,2,1,6,6,0,1,8,3,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
Aleksib,76561198013243326,Natus Vincere,6,12,21,3,50,0.285714,58.620689,35.379311,0.206897,0.724138,2.965517,1026,241,86,1,5,0,3,0,1,2,2,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
nqz,76561198350342505,paiN,14,4,17,1,7,0.823529,79.310349,44.965519,0.482759,0.586207,0.586207,1304,115,17,1,4,6,5,0,2,7,2,1,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
davideuS,76561198120491311,paiN,23,7,22,14,60,1.045455,65.517242,75.551727,0.793103,0.758621,2.0,2191,395,58,2,3,7,2,0,0,7,1,2,2,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
Kauez,76561198385657675,paiN,12,6,21,10,83,0.571429,75.862068,60.862068,0.413793,0.724138,5.448276,1765,324,158,3,1,3,8,0,1,10,1,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
biguzera,76561198015308884,paiN,18,6,20,9,50,0.9,68.965515,79.551727,0.62069,0.689655,8.206897,2307,498,238,7,3,2,5,0,0,10,4,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
b1t,76561198246607476,Natus Vincere,16,8,17,7,43,0.941176,68.965515,59.862068,0.551724,0.586207,3.172414,1736,256,92,1,6,3,2,0,1,10,3,0,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
iM,76561198050250233,Natus Vincere,30,4,20,16,53,1.5,75.862068,112.758621,1.034483,0.689655,12.75862,3270,397,370,5,2,5,4,0,1,9,4,3,1,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
w0nderful,76561199063068840,Natus Vincere,34,7,18,13,38,1.888889,86.206894,114.206894,1.172414,0.62069,0.965517,3312,296,28,4,2,5,6,0,2,10,7,2,1,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
snow,76561198377335846,paiN,27,4,20,18,66,1.35,68.965515,95.482758,0.931035,0.689655,2.655172,2769,436,77,3,2,3,4,0,0,9,6,2,0,0,e1b5625501404064,BLAST Bounty 2025 Season 1 Finals
Kauez,76561198385657675,paiN,19,2,14,10,52,1.357143,70.0,91.599998,0.95,0.7,3.55,1832,363,71,4,1,2,1,0,0,7,0,4,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
iM,76561198050250233,Natus Vincere,14,3,13,7,50,1.076923,70.0,79.900002,0.7,0.65,5.0,1598,179,100,3,1,2,2,0,1,6,4,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
Aleksib,76561198013243326,Natus Vincere,7,1,13,1,14,0.538462,60.000004,40.599998,0.35,0.65,5.05,812,142,101,0,1,4,1,0,0,5,1,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
w0nderful,76561199063068840,Natus Vincere,16,1,16,12,75,1.0,70.0,81.699997,0.8,0.8,2.5,1634,220,50,4,2,2,3,0,1,7,3,1,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
davideuS,76561198120491311,paiN,12,4,12,9,75,1.0,75.0,72.25,0.6,0.6,1.35,1445,213,27,1,2,2,2,0,0,6,0,2,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
b1t,76561198246607476,Natus Vincere,14,1,14,7,50,1.0,70.0,78.050003,0.7,0.7,4.3,1561,267,86,1,3,2,0,0,0,10,2,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
jL,76561198176878303,Natus Vincere,9,5,17,7,77,0.529412,60.000004,62.049999,0.45,0.85,2.75,1241,207,55,1,4,0,4,0,0,5,2,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
biguzera,76561198015308884,paiN,10,2,12,7,70,0.833333,70.0,53.200001,0.5,0.6,2.0,1064,113,40,3,3,2,3,0,0,10,0,0,0,0,4ccce73468468deb,BLAST Bounty 2025 Season 1 Finals
