team_name,team_page,player_name,player_country,player_nick,player_hltv_url,photo_player,player_flag,photo_player_path,player_flag_path
MOUZ,https://www.hltv.org/team/4494/mouz,Dorian 'xertioN' Berman,Israel,xertioN,https://www.hltv.org/player/20312/xertion,https://img-cdn.hltv.org/playerbodyshot/7p22H6GcCBd_TyGIl3lyiC.png?ixlib=java-2.1.0&w=400&s=317a37a331d6b1912b27e3c6232d3f05,https://www.hltv.org/img/static/flags/30x20/IL.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\mouz-xertioN.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\israel.png
Liquid,https://www.hltv.org/team/5973/liquid,Justin 'jks' Savage,Australia,jks,https://www.hltv.org/player/4679/jks,https://img-cdn.hltv.org/playerbodyshot/ZAlgCZsbHLbGcHhwfG_SAE.png?ixlib=java-2.1.0&w=400&s=c5154490de1258bd68ec4a2be8599e2c,https://www.hltv.org/img/static/flags/30x20/AU.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\liquid-jks.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\australia.png
Liquid,https://www.hltv.org/team/5973/liquid,Keith 'NAF' Markovic,Canada,NAF,https://www.hltv.org/player/8520/naf,https://img-cdn.hltv.org/playerbodyshot/MPjEoOolexLD0XfG4fQpHX.png?ixlib=java-2.1.0&w=400&s=be642fe64bb3cf9d86671b5fced75873,https://www.hltv.org/img/static/flags/30x20/CA.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\liquid-NAF.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\canada.png
Liquid,https://www.hltv.org/team/5973/liquid,Guy 'NertZ' Iluz,Israel,NertZ,https://www.hltv.org/player/9436/nertz,https://img-cdn.hltv.org/playerbodyshot/p2ui-oB_FlhR2L2RNeHikb.png?ixlib=java-2.1.0&w=400&s=2193962a383663295f2edb17cb82ac5b,https://www.hltv.org/img/static/flags/30x20/IL.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\liquid-NertZ.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\israel.png
Liquid,https://www.hltv.org/team/5973/liquid,Russel 'Twistzz' Van Dulken,Canada,Twistzz,https://www.hltv.org/player/10394/twistzz,https://img-cdn.hltv.org/playerbodyshot/eIbaTg6Qio0uFtyTMKYC90.png?ixlib=java-2.1.0&w=400&s=8a72bf599c5a30b6094f96204e0cd70f,https://www.hltv.org/img/static/flags/30x20/CA.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\liquid-Twistzz.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\canada.png
Liquid,https://www.hltv.org/team/5973/liquid,Roland 'ultimate' Tomkowiak,Poland,ultimate,https://www.hltv.org/player/21763/ultimate,https://img-cdn.hltv.org/playerbodyshot/DIlW_HmnWL5ZeA-bMFVsSe.png?ixlib=java-2.1.0&w=400&s=a8265d983a110f35658f19ffbc42d539,https://www.hltv.org/img/static/flags/30x20/PL.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\liquid-ultimate.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\poland.png
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Denis 'electroNic' Sharipov,Russia,electroNic,https://www.hltv.org/player/8918/electronic,https://img-cdn.hltv.org/playerbodyshot/MS0-25Ox-Wad2LhA-CPFKx.png?ixlib=java-2.1.0&w=400&s=be07dc8c0c1c196e68d5e90df9c67f50,https://www.hltv.org/img/static/flags/30x20/RU.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\virtus.pro-electroNic.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\russia.png
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Evgenii 'FL1T' Lebedev,Russia,FL1T,https://www.hltv.org/player/12732/fl1t,https://img-cdn.hltv.org/playerbodyshot/JjSlbwOZwW1PM1_xVvy1nP.png?ixlib=java-2.1.0&w=400&s=8af488f4afcfa0cf8f80ca7b9c9770be,https://www.hltv.org/img/static/flags/30x20/RU.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\virtus.pro-FL1T.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\russia.png
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Petr 'fame' Bolyshev,Russia,fame,https://www.hltv.org/player/20101/fame,https://img-cdn.hltv.org/playerbodyshot/SI6kV-gdQS_-tMZNYokY5V.png?ixlib=java-2.1.0&w=400&s=af2cc20c5b59122dedf27c10c64b17d3,https://www.hltv.org/img/static/flags/30x20/RU.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\virtus.pro-fame.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\russia.png
Virtus.pro,https://www.hltv.org/team/5378/virtuspro,Timur 'FL4MUS' Marev,Russia,FL4MUS,https://www.hltv.org/player/20994/fl4mus,https://img-cdn.hltv.org/playerbodyshot/02Z_Xmotd6K5IivbhXnSHR.png?ixlib=java-2.1.0&w=400&s=918db0b237bdacc7c075b33e589742f7,https://www.hltv.org/img/static/flags/30x20/RU.gif,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\virtus.pro-FL4MUS.png,c:\cs2-match-and-player-scraper\ExtractPlayerData\photo_players\_flags\russia.png
